,Code_insee,Libelle,Population municipale 2020,Latitude,Longitude
3900,11012,Argeliers,2155,43.311337823,2.910488603
3902,11014,Armissan,1495,43.187388933,3.089015254
3906,11018,Arzens,1211,43.201263792,2.204570916
3911,11023,Badens,745,43.221245005,2.5050173840000003
3915,11027,Barbaira,793,43.175148932,2.514470618
3929,11041,Bize-Minervois,1243,43.329764253,2.871298132
3936,11048,Boutenac,722,43.14620318,2.798273389
3937,11049,Bram,3226,43.251430843,2.110586669
3954,11067,Canet,1832,43.226448341,2.831256142
3955,11068,Capendu,1473,43.183414154,2.553460884
3956,11069,Carcassonne,46673,43.209415595,2.343422135
3968,11076,Castelnaudary,12467,43.323098827,1.960655389
3974,11081,Caunes-Minervois,1601,43.332613524,2.51632941
3975,11082,Caunette-sur-Lauquet,10,43.027761987,2.426408968
3977,11084,Caux-et-Sauzens,1005,43.225742397,2.254734927
3978,11085,Cavanac,960,43.169079579,2.334356407
3981,11088,Cazilhac,1640,43.178421567,2.359726121
3990,11098,Conilhac-Corbires,899,43.184499993,2.7161291480000003
3995,11103,Couiza,1122,42.932875499,2.245259466
3998,11106,Coursan,5785,43.247659024,3.058971335
4008,11116,Cuxac-d'Aude,4044,43.257600222,3.005628157
4022,11129,Espraza,1712,42.931302013,2.2208133
4024,11131,Val-du-Faby,582,42.930657052,2.163014437
4026,11132,Fabrezan,1256,43.125671629,2.705226326
4030,11136,Fanjeaux,859,43.186859709,2.036882496
4038,11144,Fitou,1096,42.895862273,2.966127513
4040,11145,Fleury,3713,43.214898429,3.175618889
4043,11147,Fontans-de-Sault,5,42.769020393,2.081975757
4044,11148,Fontcouverte,559,43.167768811,2.685956005
4060,11164,Ginestas,1515,43.275975097,2.876976082
4066,11170,Gruissan,5131,43.103602213,3.081876506
4074,11178,Labastide-d'Anjou,1278,43.34675674,1.852883896
4088,11192,Lasbordes,783,43.299475662,2.062974252
4094,11198,Laure-Minervois,1013,43.271358589,2.510108547
4095,11199,Lavalette,1517,43.192185826,2.269956266
4098,11202,Leucate,4581,42.899577824,3.025947838
4101,11203,Lzignan-Corbires,11112,43.204059124,2.762030341
4104,11206,Limoux,10161,43.049972342,2.239133252
4131,11233,Mirepeisset,752,43.283673615,2.89663582
4137,11240,Montazels,556,42.951921154,2.24409541
4152,11254,Montral,1980,43.200066861,2.148362194
4156,11258,Moussan,2041,43.230391832,2.95697434
4160,11262,Narbonne,56123,43.165034031,3.020200005
4163,11264,Nvian,1277,43.20392759,2.885948948
4165,11266,Port-la-Nouvelle,5905,43.02147533,3.038221711
4166,11267,Ornaisons,1113,43.177539691,2.836540512
4171,11272,Palaja,2496,43.167304205,2.387305399
4178,11279,Pennautier,2714,43.251233398,2.313909085
4179,11280,Ppieux,1087,43.297394619,2.686954481
4184,11285,Peyriac-de-Mer,1143,43.090072325,2.949143672
4185,11286,Peyriac-Minervois,1177,43.293673851,2.566296561
4187,11288,Pezens,1584,43.254834276,2.248217297
4188,11289,Pieusse,968,43.082794742,2.2550346770000003
4194,11295,Portel-des-Corbires,1322,43.051882103,2.906373918
4203,11304,Quillan,3141,42.884782221,2.173210487
4215,11315,Rieux-Minervois,1937,43.26879502,2.591239233
4228,11327,Roullens,508,43.166276897,2.268904766
4244,11344,Saint-Hilaire,713,43.07867345,2.338491448
4252,11353,Saint-Marcel-sur-Aude,2028,43.251276026,2.924305448
4258,11359,Saint-Michel-de-Lans,481,43.326213988,1.751011316
4259,11360,Saint-Nazaire-d'Aude,2076,43.249268223,2.891575409
4260,11361,Saint-Papoul,866,43.337640636,2.044693405
4265,11366,Sainte-Valire,536,43.274550297,2.845219841
4266,11367,Saissac,919,43.366192295,2.161467584
4268,11369,Sallles-d'Aude,3039,43.270336816,2.934936727
4269,11370,Salles-d'Aude,3251,43.236305522,3.107191819
4278,11379,Sigean,5542,43.039590728,2.981175918
4296,11397,Trbes,5438,43.20540778,2.459776321
4308,11410,Villalier,970,43.252443663,2.418608197
4316,11418,Villasavary,1212,43.232093177,2.03337815
4323,11425,Villegailhenc,1658,43.271643489,2.347013131
4327,11429,Villemoustaussou,4501,43.249605454,2.366056227
4332,11434,Villepinte,1260,43.28088179,2.095027311
4339,11441,Vinassan,2662,43.205491567,3.095655283
4340,12001,Agen-d'Aveyron,1086,44.351284364,2.694054322
4341,12002,Aguessac,887,44.161114617,3.068929066
4351,12013,Aubin,3640,44.53203905,2.256331617
4359,12021,Le Bas Sgala,1576,44.309596958,2.13396777
4366,12026,Bertholne,1060,44.394994565,2.782931393
4368,12028,Boisse-Penchot,520,44.581210551,2.211604373
4373,12033,Bozouls,2951,44.467521623,2.708368555
4377,12037,Broquis,609,44.017903272,2.706580851
4382,12043,Calmont,2184,44.258980201,2.524240178
4386,12046,Camjac,574,44.17923909,2.3948977
4394,12052,Capdenac-Gare,4400,44.560206281,2.06886736
4406,12063,La Cavalerie,2188,44.011626444,3.183654857
4411,12068,Colombis,872,44.343491114,2.327528704
4428,12083,Cransac,1472,44.518816277,2.2871958770000003
4433,12089,Decazeville,5196,44.566840983,2.252858996
4434,12090,Druelle Balsac,3196,44.372859472,2.470250859
4443,12096,Espalion,4643,44.519078136,2.76421238
4447,12100,Firmi,2363,44.547263688,2.325291521
4449,12102,Flavin,2365,44.287169888,2.623272135
4452,12105,La Fouillade,1108,44.234399271,2.048070402
4464,12120,Laissac-Svrac l'glise,2153,44.362413451,2.831651432
4474,12131,La Loubire,1518,44.391260867,2.65071038
4475,12133,Luc-la-Primaube,5962,44.305444674,2.536714214
4480,12137,Manhac,841,44.260723048,2.478297484
4481,12138,Marcillac-Vallon,1724,44.477115178,2.465138524
4488,12145,Millau,21482,44.097355053,3.117377106
4489,12146,Le Monastre,2306,44.33207059,2.5865928350000003
4498,12154,Montlaur,633,43.865349416,2.833674997
4501,12157,Montrozier,1717,44.395635083,2.721407491
4507,12162,Moyrazs,1076,44.32765706,2.427297541
4514,12169,Naucelle,2023,44.190083214,2.344396329
4516,12171,Nauviale,588,44.513288179,2.432878382
4518,12174,Olemps,3471,44.338810182,2.547170796
4520,12176,Onet-le-Chteau,11797,44.382639797,2.559641941
4523,12177,Palmas d'Aveyron,1028,44.422304293,2.8594292770000003
4533,12185,Pont-de-Salars,1632,44.277832242,2.709259812
4545,12197,Rquista,1978,44.031866465,2.549078772
4547,12199,Rignac,2006,44.40388919,2.292752177
4548,12200,Rivire-sur-Tarn,1029,44.211195044,3.127601659
4550,12201,Rodelle,1071,44.48167803,2.622449077
4551,12202,Rodez,24397,44.358691956,2.566866502
4554,12205,La Rouquette,770,44.309945905,1.974499242
4557,12208,Saint-Affrique,8018,43.965661727,2.866778763
4566,12216,Saint-Cme-d'Olt,1426,44.531581191,2.822549994
4567,12217,Sainte-Croix,744,44.414125303,1.968198617
4578,12224,Saint Geniez d'Olt et d'Aubrac,2217,44.512647263,3.012399627
4580,12225,Saint-Georges-de-Luzenon,1606,44.056682277,2.986966021
4598,12241,Sainte-Radegonde,1759,44.331104561,2.632862871
4601,12244,Saint-Rome-de-Tarn,889,44.032416184,2.890547168
4612,12254,Salles-la-Source,2286,44.444239202,2.525176394
4618,12258,La Salvetat-Peyrals,989,44.221171073,2.196522063
4624,12264,Sbazac-Concours,3330,44.423294645,2.610847742
4627,12267,La Selve,626,44.105922222,2.536217988
4630,12270,Svrac d'Aveyron,4079,44.31842852,3.042005637
4649,12288,Valady,1595,44.447293714,2.442021873
4652,12290,Vaureilles,490,44.453104896,2.186334809
4654,12292,Versols-et-Lapeyre,416,43.899882042,2.936209181
4656,12294,Vzins-de-Lvzou,649,44.267815146,2.925185379
4662,12300,Villefranche-de-Rouergue,11681,44.349875782,2.030960638
4663,12301,Villeneuve,1976,44.447636834,2.028472055
4667,13001,Aix-en-Provence,147122,43.536112304,5.398630399
4673,13002,Allauch,21546,43.353259041,5.5113703560000005
4675,13003,Alleins,2695,43.707442219,5.151455
4677,13004,Arles,50968,43.546935152,4.661799679
4684,13005,Aubagne,47190,43.29362258,5.563232443
4686,13006,Aureille,1545,43.699234246,4.945119894
4687,13007,Auriol,12667,43.360824036,5.658498886
4690,13010,Barbentane,4228,43.894767545,4.749594272
4693,13013,Belcodne,1917,43.421806693,5.584397782
4695,13014,Berre-l'tang,13834,43.503561063,5.160358477
4696,13015,Bouc-Bel-Air,14984,43.447273393,5.412533849
4697,13016,La Bouilladisse,6316,43.397035096,5.620221036
4701,13017,Boulbon,1516,43.867948414,4.697359608
4702,13018,Cabannes,4471,43.858397376,4.958194081
4703,13019,Cabris,10006,43.449756902,5.349599278
4705,13020,Cadolive,2179,43.394299567,5.533107563
4706,13021,Carry-le-Rouet,5705,43.342655918,5.154151649
4708,13022,Cassis,6782,43.223157649,5.550671108
4709,13023,Ceyreste,4801,43.223774487,5.636120431
4710,13024,Charleval,2655,43.721134572,5.245429708
4711,13025,Chteauneuf-le-Rouge,2358,43.491237842,5.568948172
4712,13026,Chteauneuf-les-Martigues,17809,43.386142986,5.147657914
4714,13027,Chteaurenard,16201,43.882096929,4.8396491820000005
4715,13028,La Ciotat,36441,43.192551743,5.612770934
4716,13029,Cornillon-Confoux,1494,43.578600602,5.076722023
4717,13030,Cuges-les-Pins,5380,43.28081467,5.710091739
4718,13031,La Destrousse,3803,43.376874037,5.598494392
4719,13032,guilles,8076,43.570986663,5.328913604
4720,13033,Ensus-la-Redonne,5739,43.353803023,5.199321433
4722,13034,Eygalires,1730,43.762101604,4.952184965
4723,13035,Eyguires,6854,43.702739271,5.015680782
4724,13036,Eyragues,4421,43.842877065,4.843612704
4725,13037,La Fare-les-Oliviers,8800,43.5545516,5.202525748
4726,13038,Fontvieille,3531,43.723223343,4.722458135
4727,13039,Fos-sur-Mer,15512,43.456073172,4.90416812
4728,13040,Fuveau,10164,43.459708979,5.553450411
4731,13041,Gardanne,21501,43.452893946,5.480110629
4734,13042,Gmenos,6698,43.298134475,5.644392559
4735,13043,Gignac-la-Nerthe,9899,43.390574029,5.22802949
4737,13044,Grans,5201,43.614263657,5.045519726
4738,13045,Graveson,4854,43.854050821,4.76721401
4739,13046,Grasque,4281,43.426728408,5.547134777
4740,13047,Istres,44438,43.550505683,4.950589268
4742,13048,Jouques,4436,43.633231207,5.656549983
4743,13049,Lamanon,2044,43.705102322,5.088833335
4744,13050,Lambesc,10018,43.661719049,5.252274284
4745,13051,Lanon-Provence,9052,43.575979546,5.159318842
4746,13052,Maillane,2705,43.82310965,4.7849148150000005
4747,13053,Mallemort,6184,43.728669476,5.18355746
4749,13054,Marignane,32515,43.417591878,5.212042791
4750,13055,Marseille,870321,,
4751,13056,Martigues,48506,43.379764276,5.049565722
4757,13058,Maussane-les-Alpilles,2396,43.714424312,4.832972989
4758,13059,Meyrargues,3843,43.624133454,5.523198888
4759,13060,Meyreuil,5786,43.490858696,5.500425
4761,13062,Mimet,4158,43.412567924,5.49840573
4762,13063,Miramas,26433,43.584165604,5.013905402
4764,13065,Mouris,3400,43.70113076,4.890903821
4765,13066,Noves,5827,43.858835012,4.899484713
4767,13067,Orgon,2752,43.779537485,5.023722987
4769,13069,Plissanne,10561,43.630857227,5.159858901
4770,13070,La Penne-sur-Huveaune,6521,43.27661322,5.51871163
4772,13071,Les Pennes-Mirabeau,21897,43.402925406,5.315756939
4775,13072,Peynier,3567,43.439753284,5.625452162
4777,13073,Peypin,5604,43.384453702,5.571560948
4778,13074,Peyrolles-en-Provence,5129,43.628438272,5.577127616
4779,13075,Plan-de-Cuques,11522,43.366506701,5.464856433
4780,13076,Plan-d'Orgon,3562,43.817770158,5.002505597
4781,13077,Port-de-Bouc,16290,43.42352416,4.992071202
4782,13078,Port-Saint-Louis-du-Rhne,8370,43.416405935,4.805565377
4783,13079,Puyloubier,1785,43.518828262,5.677622961
4785,13080,Le Puy-Sainte-Rparade,5866,43.651614011,5.439714957
4786,13081,Rognac,12136,43.496969737,5.231164978
4787,13082,Rognes,4616,43.664860999,5.352064736
4788,13083,Rognonas,4036,43.900188476,4.798788362
4789,13084,La Roque-d'Anthron,5411,43.717584796,5.301421636
4790,13085,Roquefort-la-Bdoule,5937,43.251128953,5.629565904
4792,13086,Roquevaire,8569,43.343598243,5.5977055270000005
4795,13087,Rousset,4977,43.483978045,5.624362028
4796,13088,Le Rove,5193,43.365099362,5.253038921
4799,13089,Saint-Andiol,3396,43.830524399,4.950196347
4801,13091,Saint-Cannat,5648,43.613572792,5.306926325
4802,13092,Saint-Chamas,8617,43.543835328,5.072933506
4804,13094,Saint-tienne-du-Grs,2492,43.785016131,4.735487141
4805,13095,Saint-Marc-Jaumegarde,1229,43.556466723,5.522281569
4807,13097,Saint-Martin-de-Crau,13364,43.612027918,4.856371905
4808,13098,Saint-Mitre-les-Remparts,5818,43.455465623,5.01513305
4810,13100,Saint-Rmy-de-Provence,9692,43.783286385,4.853300341
4811,13101,Saint-Savournin,3481,43.405411505,5.530991972
4812,13102,Saint-Victoret,6609,43.414001784,5.253281235
4813,13103,Salon-de-Provence,45009,43.646321793,5.067827841
4814,13104,Sausset-les-Pins,7570,43.345494951,5.117889047
4815,13105,Snas,6878,43.744641026,5.087392063
4816,13106,Septmes-les-Vallons,11366,43.393307784,5.380786979
4818,13107,Simiane-Collongue,5917,43.411463612,5.437590923
4819,13108,Tarascon,15508,43.794219007,4.686203242
4820,13109,Le Tholonet,2355,43.519899658,5.50832654
4821,13110,Trets,10507,43.437815697,5.700181464
4823,13111,Vauvenargues,1024,43.558732568,5.612876318
4824,13112,Velaux,8579,43.523915071,5.249376461
4825,13113,Venelles,8432,43.593269699,5.490760987
4826,13114,Ventabren,5381,43.542076484,5.306136441
4830,13117,Vitrolles,34418,43.449805347,5.263415824
4831,13118,Coudoux,3668,43.56033225,5.254538289
4832,13119,Carnoux-en-Provence,6623,43.258624794,5.566047602
4835,14005,Valambray,1700,49.08254151,-0.182247724
4844,14011,Aurseulles,1899,49.133433609,-0.709216551
4855,14015,Anisy,742,49.25088322,-0.398345461
4858,14020,Argences,3798,49.134123932,-0.158603199
4862,14024,Auberville,591,49.311209481,-0.026858295
4865,14027,Les Monts d'Aunay,4595,48.983651591,-0.6426326960000001
4873,14030,Authie,1666,49.205664142,-0.430859337
4876,14034,Avenay,572,49.095792808,-0.465448599
4877,14035,Balleroy-sur-Drme,1346,49.195275156,-0.8374323850000001
4880,14037,Malherbe-sur-Ajon,567,49.05051876,-0.574959689
4890,14046,Bavent,1932,49.22635274,-0.182748048
4892,14047,Bayeux,12640,49.277826763,-0.7051522170000001
4898,14057,Bellengreville,1470,49.120550354,-0.232548052
4900,14060,Bnouville,2039,49.244010931,-0.288002622
4901,14061,Souleuvre en Bocage,8848,48.955220773,-0.8514765470000001
4925,14066,Bernires-sur-Mer,2330,49.320039005,-0.418205469
4926,14068,Biville-Beuville,3646,49.239286411,-0.337189137
4930,14076,Blainville-sur-Orne,5761,49.228567561,-0.304359765
4932,14078,Blay,364,49.280004071,-0.835933127
4933,14079,Blonville-sur-Mer,1552,49.322326702,0.032234067
4938,14085,Bonneville-la-Louvet,814,49.273178661,0.342127212
4949,14098,Thue et Mue,6150,49.197247401,-0.5372410590000001
4955,14100,Bretteville-sur-Laize,1912,49.050254001,-0.325391473
4956,14101,Bretteville-sur-Odon,4069,49.173476449,-0.42196169
4965,14117,Cabourg,3511,49.282612423,-0.12763245
4966,14118,Caen,107250,49.184977638,-0.369888818
4967,14119,Cagny,2003,49.154317552,-0.260186998
4968,14120,Cahagnes,1400,49.067262652,-0.7628174120000001
4971,14123,Cairon,2029,49.234119805,-0.437739166
4990,14143,Caumont-sur-Aure,2394,49.105667329,-0.797146101
4998,14150,Cesny-les-Sources,1365,48.969938445,-0.369880492
5009,14166,Colleville-Montgomery,2546,49.274631102,-0.301269592
5010,14167,Colombelles,7029,49.198606479,-0.295182615
5016,14174,Cond-en-Normandie,6296,48.886398038,-0.54847721
5026,14181,Cormelles-le-Royal,5093,49.154612345,-0.327570817
5031,14191,Courseulles-sur-Mer,4185,49.32056554,-0.448966642
5037,14197,Cresserons,1099,49.288085546,-0.353626429
5039,14200,Creully sur Seulles,2260,49.281242776,-0.5574943880000001
5051,14215,Cuverville,2284,49.191963175,-0.261736261
5055,14221,Dmouville,3063,49.17803667,-0.26388213
5058,14225,Dives-sur-Mer,5234,49.282312292,-0.088504379
5061,14228,Douvres-la-Dlivrande,5076,49.289961453,-0.392225177
5063,14229,Dozul,2314,49.228817844,-0.045432098
5076,14243,quemauville,1580,49.403429432,0.209794082
5081,14249,Esquay-Notre-Dame,1436,49.11325053,-0.471322748
5085,14254,terville,1644,49.147796372,-0.428353419
5086,14256,trham,330,49.321019868,-0.7942210160000001
5088,14258,Falaise,7849,48.895775676,-0.193605226
5091,14266,Feuguerolles-Bully,1443,49.112094264,-0.406566196
5095,14271,Fleury-sur-Orne,4981,49.144638796,-0.377500811
5098,14274,Fontaine-toupefour,2682,49.138024506,-0.453853188
5101,14277,Fontenay-le-Marmion,1946,49.08664404,-0.34367235
5102,14278,Fontenay-le-Pesnel,1197,49.173510104,-0.580364219
5113,14287,Frnouville,1981,49.132789861,-0.248461731
5115,14289,Fresn-la-Mre,580,48.887791168,-0.125177841
5116,14290,Fresney-le-Puceux,804,49.065806095,-0.355108777
5123,14301,Giberville,4881,49.177865446,-0.286092335
5125,14303,Glos,926,49.124944458,0.281518952
5131,14310,Grainville-Langannerie,733,49.00817401,-0.271967158
5132,14311,Grainville-sur-Odon,1049,49.139585425,-0.531343825
5133,14312,Grandcamp-Maisy,1533,49.375084974,-1.044491233
5136,14318,Graye-sur-Mer,731,49.329322383,-0.486951297
5141,14326,Hermival-les-Vaux,825,49.166335645,0.291762594
5142,14327,Hrouville-Saint-Clair,22150,49.207183847,-0.33085279
5145,14332,La Hoguette,664,48.85325375,-0.160791972
5146,14333,Honfleur,6742,49.412728454,0.238229008
5154,14338,Houlgate,1689,49.297657483,-0.067157073
5155,14341,Ifs,11902,49.140520063,-0.34209257
5156,14342,Isigny-sur-Mer,3590,49.285064924,-1.069847082
5165,14347,Dialan sur Chane,1027,49.002500487,-0.741813697
5168,14349,Laize-Clinchamps,2130,49.08233605,-0.399336745
5174,14355,Ponts sur Seulles,1217,49.2818969,-0.5116840890000001
5177,14357,Terres de Druance,903,48.921477379,-0.660875371
5184,14365,Lion-sur-Mer,2499,49.300996117,-0.333775201
5185,14366,Lisieux,19755,49.147010605,0.238204884
5189,14370,Le Molay-Littry,3030,49.234505943,-0.889839119
5191,14371,Livarot-Pays-d'Auge,6183,49.003429234,0.227044066
5220,14383,Louvigny,2666,49.155601292,-0.39708702
5221,14384,Luc-sur-Mer,3241,49.308001053,-0.357617759
5227,14394,Maizires,431,49.013646308,-0.16622832
5242,14407,Mathieu,2318,49.256313181,-0.366591533
5256,14431,Mzidon Valle d'Auge,9624,49.079180711,-0.01142351
5276,14437,Mondeville,10054,49.169215088,-0.311194071
5277,14438,Mondrainville,558,49.141832528,-0.512191143
5285,14454,Mouen,1683,49.149860066,-0.488289347
5287,14456,Moult-Chicheboville,3344,49.109861917,-0.187504821
5291,14460,Moyaux,1342,49.19527432,0.351286647
5301,14475,Val d'Arry,2399,49.11352574,-0.56798906
5306,14478,Orbec,1943,49.023125328,0.384167378
5313,14488,Ouistreham,9438,49.274415962,-0.261218881
5325,14504,Le Pin,813,49.214316699,0.336572642
5331,14514,Pont-l'vque,4790,49.289158872,0.185053072
5333,14515,Port-en-Bessin-Huppain,1921,49.339590332,-0.772196728
5337,14520,Le Pr-d'Auge,858,49.149798752,0.145405585
5344,14528,Quetteville,399,49.341698397,0.300673776
5346,14530,Ranville,1962,49.228939549,-0.263783404
5349,14534,Reux,396,49.276892599,0.153952616
5351,14536,La Rivire-Saint-Sauveur,2551,49.40830739,0.267694518
5358,14543,Rots,2474,49.219424845,-0.486298205
5365,14554,Le Castelet,1716,49.088276396,-0.28312035
5368,14556,Saint-Andr-sur-Orne,1814,49.124703622,-0.388351151
5372,14562,Saint-Aubin-sur-Mer,2162,49.322517748,-0.391773723
5375,14566,Saint-Contest,2515,49.21506511,-0.401398138
5377,14570,Valorbiquet,2517,49.061518358,0.327914283
5384,14574,Saint-Dsir,1746,49.14414173,0.190371676
5402,14592,Sainte-Honorine-du-Fay,1341,49.069913366,-0.491048523
5422,14623,Saint-Martin-de-Fontenay,2519,49.11484418,-0.352017302
5432,14644,Saint-Philbert-des-Champs,655,49.211806083,0.275608239
5435,14648,Saint-Pierre-des-Ifs,454,49.114666153,0.161633739
5440,14654,Saint-Pierre-en-Auge,7325,48.993034616,0.026768383
5464,14658,Noues de Sienne,4326,48.828129507,-1.030250703
5474,14659,Saint-Sylvain,1445,49.053195903,-0.215100869
5477,14663,Saint-Vigor-le-Grand,2529,49.287945726,-0.676945821
5489,14675,Soliers,2079,49.131060621,-0.286947673
5498,14685,Thaon,1795,49.255136663,-0.449331371
5500,14689,Thury-Harcourt-le-Hom,3599,48.991717061,-0.518177199
5505,14692,Tilly-sur-Seulles,1766,49.172493065,-0.6228726
5508,14699,Touques,3744,49.354117438,0.112233831
5513,14707,Tourville-sur-Odon,1115,49.136937135,-0.501507483
5518,14712,Troarn,3435,49.192184515,-0.183572989
5523,14715,Trouville-sur-Mer,4603,49.372588293,0.101590701
5531,14726,Valdallire,5735,48.866851056,-0.7359479360000001
5554,14738,Verson,3657,49.163978046,-0.46263109
5555,14739,Ver-sur-Mer,1648,49.333765693,-0.528485285
5563,14747,Vieux,675,49.112534246,-0.442948062
5566,14752,Villers-Bocage,3147,49.078649301,-0.652038977
5574,14761,Vimont,826,49.141611127,-0.194062081
5575,14762,Vire Normandie,16935,48.818699137,-0.8732791830000001
5585,14764,Pont-d'Ouilly,961,48.876845156,-0.409136876
5590,15004,Andelat,474,45.070233689,3.059413009
5598,15012,Arpajon-sur-Cre,6313,44.876118753,2.464421864
5600,15014,Aurillac,25703,44.92446829,2.441559986
5621,15037,Champagnac,1040,45.363229381,2.40314674
5662,15083,Jussac,2027,44.995311549,2.418096232
5703,15119,Massiac,1801,45.245217934,3.199540736
5704,15120,Mauriac,3489,45.218560402,2.316801484
5706,15122,Maurs,2107,44.711737666,2.173474325
5721,15138,Murat,1815,45.127653235,2.849823853
5724,15140,Naucelles,2116,44.952892968,2.420730292
5725,15141,Neussargues en Pinatelle,1728,45.150152022,2.942924918
5730,15142,Neuvglise-sur-Truyre,1720,44.934436863,2.980691246
5741,15152,Pierrefort,905,44.92868868,2.83811958
5752,15160,Reilhac,1089,44.970290375,2.423170665
5754,15162,Riom-s-Montagnes,2454,45.28967475,2.6568077480000003
5755,15163,Roannes-Saint-Mary,1109,44.844880644,2.39892639
5778,15187,Saint-Flour,6451,45.028656748,3.08304179
5785,15196,Saint-Mamet-la-Salvetat,1546,44.856280025,2.30520502
5793,15204,Saint-Paul-des-Landes,1536,44.950738278,2.300319426
5809,15221,Sansac-de-Marmiesse,1352,44.8901162,2.343350126
5844,15258,Vic-sur-Cre,1862,44.971418234,2.620124148
5853,15267,Ytrac,4329,44.915794824,2.366175893
5870,16015,Angoulme,41407,45.647372131,0.145140856
5873,16019,Asnires-sur-Noure,1265,45.70841115,0.048489012
5879,16025,Baignes-Sainte-Radegonde,1235,45.374635878,-0.254013152
5880,16026,Balzac,1371,45.712202634,0.133797922
5882,16028,Barbezieux-Saint-Hilaire,4751,45.477722054,-0.157623473
5914,16058,Boutiers-Saint-Trojan,1405,45.710977197,-0.296958459
5917,16061,Brie,4222,45.734315028,0.266406564
5926,16070,Chabanais,1561,45.864058637,0.711379988
5936,16078,Champniers,5155,45.716721574,0.196259245
5944,16085,Chasseneuil-sur-Bonnieure,3100,45.824272055,0.441407126
5945,16086,Chassenon,857,45.85150362,0.7729125640000001
5947,16088,Chassors,1097,45.710801388,-0.20615224
5949,16090,Chteauneuf-sur-Charente,3546,45.596348024,-0.051613882
5951,16093,Chazelles,1575,45.645270382,0.365346418
5960,16102,Cognac,18606,45.696360682,-0.335278192
5964,16106,Confolens,2720,46.024827195,0.662266896
5974,16113,La Couronne,7742,45.609701129,0.109302568
5979,16119,Dignac,1356,45.554396447,0.283538648
5980,16120,Dirac,1521,45.59843929,0.241559237
5990,16132,tagnac,996,45.890605922,0.78356481
5996,16138,Flac,3865,45.676016991,0.088417062
6002,16144,Fouqueure,428,45.884363505,0.076413976
6004,16146,Garat,2124,45.62599408,0.267387898
6009,16151,Gent,886,45.636932713,-0.307585648
6010,16152,Gimeux,719,45.641584099,-0.366783795
6013,16154,Gond-Pontouvre,6017,45.679391838,0.165399089
6017,16160,Guimps,485,45.466208505,-0.254566203
6020,16163,Hiersac,1152,45.675442535,0.007090021
6023,16166,L'Isle-d'Espagnac,5633,45.663856489,0.199382227
6024,16167,Jarnac,4447,45.686466487,-0.165262647
6046,16187,Linars,2096,45.653846057,0.07404894
6051,16192,Terres-de-Haute-Charente,3867,45.883750466,0.583838501
6057,16193,Louzac-Saint-Andr,991,45.724245299,-0.397112238
6064,16199,Magnac-sur-Touvre,3223,45.655514652,0.236421203
6076,16209,Marillac-le-Franc,824,45.730806114,0.433301434
6088,16223,Montbron,2001,45.667447001,0.504080814
6101,16232,Mornac,2137,45.684836343,0.29270932
6102,16233,Mosnac-Saint-Simeux,1002,45.626558621,-0.025340873
6105,16236,Mouthiers-sur-Bome,2377,45.557529101,0.122363426
6111,16242,Nanteuil-en-Valle,1381,46.006055575,0.323571518
6117,16243,Nercillac,1047,45.723157828,-0.270112734
6140,16271,Puymoyen,2382,45.615732836,0.172131481
6147,16280,Rivires,2007,45.760837063,0.359069232
6148,16281,La Rochefoucauld-en-Angoumois,3984,45.729934437,0.358348158
6150,16282,La Rochette,533,45.797512768,0.309875764
6154,16286,Rouillac,2940,45.793883689,-0.074809168
6158,16287,Roullet-Saint-Estphe,4295,45.580371291,0.031286652
6162,16291,Ruelle-sur-Touvre,7364,45.683754147,0.230661459
6163,16292,Ruffec,3370,46.039882217,0.199511774
6169,16300,Val-de-Bonnieure,1318,45.84351945,0.292332764
6190,16329,Saint-Laurent-de-Cris,763,45.943575424,0.498984958
6205,16341,Saint-Michel,3225,45.639425923,0.110864643
6211,16348,Saint-Saturnin,1288,45.667739362,0.040438269
6220,16358,Saint-Yrieix-sur-Charente,7499,45.681712644,0.128377145
6230,16369,Sigogne,976,45.738107649,-0.165299612
6231,16370,Sireuil,1157,45.620049215,0.020076442
6234,16374,Soyaux,9969,45.639275192,0.207026519
6242,16383,Tourriers,774,45.793497978,0.193800156
6251,16393,Vars,2166,45.756357955,0.136369249
6273,16418,VÏuil-et-Giget,1555,45.593148246,0.158443664
6277,16422,Vouzan,829,45.600046653,0.360260956
6282,17003,Aigrefeuille-d'Aunis,4343,46.116852349,-0.944445288
6289,17009,Angliers,1204,46.206140183,-0.948797569
6299,17019,Ars-en-R,1302,46.211015321,-1.514662123
6300,17020,Arthenac,350,45.503608933,-0.323644949
6301,17021,Arvert,3672,45.746809504,-1.123864567
6302,17022,Asnires-la-Giraud,984,45.893610948,-0.511486134
6304,17024,Aulnay,1324,46.020547949,-0.347522782
6306,17025,Aumagne,703,45.880061579,-0.411554351
6310,17027,Avy,470,45.551593418,-0.508796961
6311,17028,Aytr,9397,46.134449771,-1.114179784
6319,17036,Beaugeay,780,45.870410083,-1.008196772
6323,17041,Benon,1715,46.199590755,-0.79765028
6327,17044,Berneuil,1149,45.656804608,-0.5979905870000001
6328,17045,Beurlay,1022,45.859646708,-0.835187089
6334,17051,Le Bois-Plage-en-R,2280,46.182900526,-1.37723903
6341,17058,Bourcefranc-le-Chapus,3515,45.847113489,-1.133369669
6342,17059,Bourgneuf,1394,46.168424043,-1.020858655
6347,17064,Breuillet,3031,45.693775336,-1.055190264
6357,17074,Bussac-Fort,1069,45.201724705,-0.37832818
